Nr;Tarih(UTC);Enlem;Boylam;Derinlik;Tip;Büyüklük
0;30.11.2014 06:38;39,3488;29,012;8,37;Mw;4
0;28.11.2014 02:30;39,3318;29,0056;10,78;Mw;4,3
0;26.11.2014 05:05;36,907;27,7096;20,83;Mw;4,2
0;26.11.2014 00:04;39,335;29,0036;8,72;Mw;4
0;15.11.2014 07:30;39,3255;28,9978;12,19;Mw;4
0;10.11.2014 09:20;37,1473;28,758;10,34;Mw;4,3
0;10.11.2014 06:16;37,1163;28,7345;14,46;Mw;4,8
0;21.10.2014 03:03;38,169;27,1045;11,74;Mw;4,1
0;11.10.2014 06:42;38,1873;27,0596;10,7;Mw;4
0;1.10.2014 07:16;36,9611;29,3695;25,37;Mw;4,2
0;15.08.2014 04:00;37,0156;27,3876;11,69;ML;4
0;13.08.2014 09:42;36,9278;27,6545;15,27;Mw;4,1
0;18.07.2014 03:58;38,233;26,6198;13,81;Mw;4
0;15.07.2014 12:25;39,13;29,0041;9,92;Mw;4,1
0;1.05.2014 17:33;37,0261;27,4613;11,18;Mw;4,1
0;1.05.2014 14:16;38,0225;27,051;8,23;Mw;4,1
0;19.04.2014 23:39;37,0345;28,8783;14,17;Mw;4
0;10.01.2014 07:20;39,4531;27,9588;15,14;Mw;4
0;7.08.2013 05:20;39,2092;29,416;20,86;Ml;4,4
0;25.07.2013 23:05;37,3902;26,8428;25,43;Ml;4,1
0;9.06.2013 15:15;38,8048;26,784;26,69;Ml;4
0;9.06.2013 14:18;39,1392;29,022;15,61;Ml;4,1
0;29.05.2013 14:43;39,1362;29,0983;7;Ml;4
0;16.05.2013 21:26;37,0218;28,3715;16,61;Ml;4,2
0;16.05.2013 21:21;37,0053;28,41;20,87;Ml;4,4
0;16.05.2013 03:02;36,9827;28,4208;25,43;Ml;4,6
0;28.04.2013 16:30;36,9433;27,7677;21,74;Ml;4,2
0;12.03.2013 20:47;39,1203;29,0583;12,81;Ml;4,1
0;21.02.2013 10:18;37,3502;26,8907;25,98;Ml;4,6
