Nr;Tarih(UTC);Enlem;Boylam;Derinlik;Tip;Büyüklük
9474;23.05.2002 04:48;38,763;26,5;15,5;mb;4,1
9471;19.05.2002 10:45;38,405;26,506;16,8;mb;4,1
9434;5.04.2002 07:38;37,74;30,23;7;mb;4,1
9431;3.04.2002 22:57;37,734;30,316;10,8;mb;4,4
9404;1.03.2002 21:09;36,997;27,82;25;mb;4,1
9403;1.03.2002 15:48;38,29;28,052;31,6;Md;4,1
9402;1.03.2002 12:01;38,358;28,039;26,8;Md;4
9364;21.01.2002 14:34;38,626;27,881;26,2;mb;4,8
9329;4.12.2001 22:35;37,167;27,762;5;Ml;4
9169;8.07.2001 02:15;38,887;26,859;10,3;mb;4
9158;26.06.2001 17:27;38,665;26,442;22,6;Ml;4,1
9157;26.06.2001 17:19;38,651;26,528;9,1;mb;4,1
9156;26.06.2001 15:30;38,68;26,505;8,9;Ml;4,1
9153;24.06.2001 13:33;39,349;27,856;9,9;mb;4,2
9152;24.06.2001 11:49;39,365;27,834;8;Md;4,1
9150;23.06.2001 12:18;39,389;27,882;8,4;mb;4,2
9148;22.06.2001 19:56;39,295;27,861;5,4;Md;4,1
9147;22.06.2001 11:54;39,324;27,891;7;mb;4,6
9138;12.06.2001 01:14;37,621;26,767;22,5;Md;4,1
9126;24.05.2001 03:18;39,32;27,9;7;mb;4
9069;1.03.2001 13:31;37,835;26,765;10;mb;4,2
9067;27.02.2001 06:14;39,067;26,726;21,1;mb;4
9065;27.02.2001 04:10;39,012;26,671;9,8;Ml;4,1
9061;18.02.2001 00:24;38,012;26,668;7,2;Md;4
9051;2.02.2001 09:51;37,735;30,179;14,5;mb;4,3
9041;19.01.2001 04:38;39,155;27,93;7,3;Md;4,1
9027;4.01.2001 01:20;37,64;26,784;11;Md;4,1
9005;26.11.2000 17:20;37,95;29,008;20,6;mb;4
9004;26.11.2000 17:08;37,973;28,994;10,5;mb;4,1
8988;30.10.2000 19:37;36,936;28,412;9,5;mb;4,1
8977;4.10.2000 07:58;37,918;28,868;1,9;mb;4,3
8976;4.10.2000 02:34;37,87;29,029;19,8;mb;4,7
8958;8.09.2000 05:46;39,395;27,667;5;mb;4,3
8883;27.04.2000 12:13;37,903;29,283;6,1;mb;4,1
8880;23.04.2000 13:53;38,029;27,798;8,2;mb;4,1
8879;21.04.2000 12:29;37,776;29,291;10;mb;4
8878;21.04.2000 12:23;37,856;29,356;29,2;Mw;5,4
8835;28.02.2000 07:45;37,086;27,537;14,2;mb;4,3
